type	weight	node_a	node_b	shared
vocab	0.182	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshoptions:DESCRIPTION OF OPTIONS › Shell State	ksh this zsh option running
vocab	0.181	zshmisc:ALIASING	zshexpn:DESCRIPTION	alias expansion aliasing aliases substitution
vocab	0.181	zshmisc:QUOTING	zshexpn:COMMAND SUBSTITUTION	enclosed quotes substitution quoted single
vocab	0.181	zshparam:POSITIONAL PARAMETERS	zshparam:PARAMETERS SET BY THE SHELL	argv positional parameters array script
vocab	0.181	zshparam:PARAMETERS SET BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › wait [ job ... ]	id process started user processes
vocab	0.181	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	path hashed hash search command
vocab	0.181	zshbuiltins:SHELL BUILTIN COMMANDS › job ... &!	zshbuiltins:SHELL BUILTIN COMMANDS › exit [ n ]	jobs exit specified status will
vocab	0.18	zshmisc:SPECIAL FUNCTIONS › Hook Functions	zshparam:PARAMETERS SET BY THE SHELL	executed history function context array
vocab	0.18	zshexpn:HISTORY EXPANSION › Overview	zshexpn:HISTORY EXPANSION › Modifiers	history expansions foo modifiers designator
vocab	0.18	zshexpn:FILENAME EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	directory stack begins pushd_minus home
vocab	0.18	zshparam:ARRAY PARAMETERS › Subscript Flags	zshparam:PARAMETERS USED BY THE SHELL	array parameter this character pattern
vocab	0.18	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Completion	completion prompt character correction matches
vocab	0.179	zshmisc:SPECIAL FUNCTIONS › Hook Functions	zshmisc:SPECIAL FUNCTIONS › Trap Functions	executed function functions context status
vocab	0.179	zshexpn:FILENAME EXPANSION › ‘=' expansion	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	pathname word name command taken
vocab	0.179	zshparam:DESCRIPTION	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	parameter assignment scalar filename expansion
vocab	0.179	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › return [ n ]	trap return script zero function
vocab	0.179	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › return [ n ]	return status was executed last
vocab	0.179	zshbuiltins:SHELL BUILTIN COMMANDS › local [ {+|-}AHUahlprtux ] [ {+|-}EFLRZi [ n ] ] [ name[=value] ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	typeset local variables except exported
vocab	0.178	zshmisc:FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS › zcompile -t file [ name ... ]	functions function read files share
vocab	0.178	zshexpn:HISTORY EXPANSION › Word Designators	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	str words word include search
vocab	0.177	zshmisc:ERRORS	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	errors variable fatal script variables
vocab	0.177	zshmisc:ALIASING › Alias difficulties	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	alias code aliases parsed entire
vocab	0.177	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	file syntax read error arguments
vocab	0.177	zshmisc:SIMPLE PROMPT ESCAPES › Visual effects	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	stop output escape sequence character
vocab	0.177	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	string true array characters truncated
vocab	0.177	zshexpn:FILENAME GENERATION › Precedence	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	filename generation parentheses pattern special
vocab	0.177	zshparam:ARRAY PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	array generation filename assignment expansion
vocab	0.177	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	zshbuiltins:SHELL BUILTIN COMMANDS › unset [ -fmv ] name ...	unset generation filename parameters pattern
vocab	0.177	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › functions +M [ -m ] mathfn ...	function functions return true statement
vocab	0.176	zshmisc:ALIASING	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	alias word expansion compatible element
vocab	0.176	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshbuiltins:SHELL BUILTIN COMMANDS › read [ -rszpqAclneE ] [ -t [ num ] ] [ -k [ num ] ] [ -d delim ]	flag flags field characters character
vocab	0.176	zshexpn:FILENAME GENERATION › Glob Operators	zshparam:ARRAY PARAMETERS › Array Subscripts	foo match matches character range
vocab	0.175	zshmisc:ALIASING	zshexpn:PARAMETER EXPANSION	word foo expansion pattern quoting
vocab	0.175	zshmisc:REDIRECTION	zshbuiltins:SHELL BUILTIN COMMANDS › zcompile -t file [ name ... ]	file output word used both
vocab	0.175	zshmisc:AUTOLOADING FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	function element file functions definition
vocab	0.175	zshexpn:PARAMETER EXPANSION › Rules	zshexpn:FILENAME GENERATION › Globbing Flags	flags substitution flag array foo
vocab	0.175	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › emulate [ -lLR ] [ {zsh|sh|ksh|csh} [ flags ... ] ]	emulate emulation options function functions
vocab	0.174	zshmisc:PRECOMMAND MODIFIERS	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	command whence reserved path external
vocab	0.174	zshmisc:FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	function reserved alias resolved functions
vocab	0.174	zshmisc:SPECIAL FUNCTIONS › Hook Functions	zshbuiltins:SHELL BUILTIN COMMANDS › autoload [ {+|-}RTUXdkmrtWz ] [ -w ] [ name ... ]	function functions executed immediately file
vocab	0.174	zshmisc:SPECIAL FUNCTIONS › Trap Functions	zshparam:PARAMETERS SET BY THE SHELL	signal executed trap traps function
vocab	0.174	zshexpn:PARAMETER EXPANSION	zshexpn:FILENAME GENERATION › Glob Qualifiers	spec pattern foo name array
vocab	0.174	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshparam:ARRAY PARAMETERS › Array Element Assignment	array element associative arrays elements
vocab	0.174	zshexpn:PARAMETER EXPANSION › Rules	zshbuiltins:SHELL BUILTIN COMMANDS › set [ {+|-}options | {+|-}o [ option_name ] ] ... [ {+|-}A [ name ] ]	array flags foo flag present
vocab	0.174	zshexpn:FILENAME GENERATION › Glob Qualifiers	zshbuiltins:SHELL BUILTIN COMMANDS › zcompile -t file [ name ... ]	files file given names size
vocab	0.174	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	zshbuiltins:SHELL BUILTIN COMMANDS › set [ {+|-}options | {+|-}o [ option_name ] ] ... [ {+|-}A [ name ] ]	array values set args foo
vocab	0.174	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › setopt [ {+|-}options | {+|-}o option_name ] [ -m ] [ name ... ]	options set emulation state behaviour
vocab	0.173	zshmisc:ALIASING	zshmisc:REDIRECTION	word input expansion redirection quote
vocab	0.173	zshmisc:AUTOLOADING FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS › functions +M [ -m ] mathfn ...	function functions autoload definition call
vocab	0.173	zshexpn:FILENAME EXPANSION › Dynamic named directories	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	directory dirs home calls exists
vocab	0.173	zshexpn:FILENAME EXPANSION › Dynamic named directories	zshbuiltins:SHELL BUILTIN COMMANDS › pushd [ -qsLP ] {+|-}n	directory dirs home stack calls
vocab	0.173	zshexpn:FILENAME EXPANSION › Static named directories	zshbuiltins:SHELL BUILTIN COMMANDS › hash [ -Ldfmrv ] [ name[=value] ] ...	hash directory named path directories
vocab	0.173	zshexpn:FILENAME GENERATION › Globbing Flags	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	flags array flag parameters local
vocab	0.173	zshparam:DESCRIPTION	zshbuiltins:SHELL BUILTIN COMMANDS › set [ {+|-}options | {+|-}o [ option_name ] ] ... [ {+|-}A [ name ] ]	array parameters name their assigning
vocab	0.173	zshoptions:SINGLE LETTER OPTIONS › Also note	zshbuiltins:SHELL BUILTIN COMMANDS › shift [ -p ] [ n ] [ name ... ]	positional arrays parameters names end
vocab	0.172	zshparam:ARRAY PARAMETERS › Array Element Assignment	zshparam:ARRAY PARAMETERS › Subscript Parsing	subscript associative array quotes typeset
vocab	0.172	zshparam:POSITIONAL PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	positional parameters containing form those
vocab	0.172	zshbuiltins:SHELL BUILTIN COMMANDS › alias [ {+|-}gmrsL ] [ name[=value] ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › unhash [ -adfms ] name ...	aliases suffix global regular patterns
vocab	0.172	zshbuiltins:SHELL BUILTIN COMMANDS › command [ -pvV ] simple command	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	whence path external command searched
vocab	0.171	zshmisc:COMMAND EXECUTION	zshbuiltins:SHELL BUILTIN COMMANDS › autoload [ {+|-}RTUXdkmrtWz ] [ -w ] [ name ... ]	function execution file found execute
vocab	0.171	zshmisc:ANONYMOUS FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS › functions +M [ -m ] mathfn ...	function functions arguments name definition
vocab	0.171	zshexpn:HISTORY EXPANSION › Modifiers	zshexpn:FILENAME GENERATION › Glob Operators	character foo match string any
vocab	0.171	zshexpn:PROCESS SUBSTITUTION	zshbuiltins:SHELL BUILTIN COMMANDS › wait [ job ... ]	process job wait processes problem
vocab	0.171	zshbuiltins:SHELL BUILTIN COMMANDS › export [ name[=value] ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	typeset export marked parameter names
vocab	0.17	zshmisc:COMMAND EXECUTION	zshmisc:CONDITIONAL EXPRESSIONS	file exists executable directory if
vocab	0.17	zshmisc:SIMPLE PROMPT ESCAPES › Shell state	zshparam:PARAMETERS USED BY THE SHELL	number file line ps4 prompt
vocab	0.17	zshexpn:FILENAME EXPANSION › Static named directories	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	path directory looked directories hash
vocab	0.17	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	reserved alias function command path
vocab	0.169	zshparam:LOCAL PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS › Initialisation	local parameters exported scope made
vocab	0.168	zshmisc:COMPLEX COMMANDS	zshparam:PARAMETERS SET BY THE SHELL	executed code try_block_error always block
vocab	0.168	zshexpn:PARAMETER EXPANSION › Rules	zshparam:DESCRIPTION	scalar value parameter array applied
vocab	0.168	zshexpn:FILENAME GENERATION › Glob Operators	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	character match multibyte characters this
vocab	0.167	zshmisc:ALIASING	zshexpn:COMMAND SUBSTITUTION	foo eligible expansion word substitution
vocab	0.167	zshmisc:JOBS	zshparam:PARAMETERS SET BY THE SHELL	you id code process started
vocab	0.167	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:ARRAY PARAMETERS › Array Subscripts	exp1 exp2 exp match foo
vocab	0.167	zshexpn:FILENAME GENERATION › Glob Qualifiers	zshparam:PARAMETERS SET BY THE SHELL	id code group file qualifier
vocab	0.167	zshparam:DESCRIPTION	zshparam:POSITIONAL PARAMETERS	parameters parameter array assignment value
vocab	0.167	zshparam:ARRAY PARAMETERS	zshparam:PARAMETERS USED BY THE SHELL	value array key variable name
vocab	0.167	zshparam:ARRAY PARAMETERS › Subscript Parsing	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	typeset array parameter parameters flags
vocab	0.167	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Shell State	ksh this input zsh env
vocab	0.166	zshmisc:PRECOMMAND MODIFIERS	zshparam:PARAMETERS USED BY THE SHELL	correction command spelling argv0 environment
vocab	0.166	zshmisc:COMPLEX COMMANDS	zshexpn:PARAMETER EXPANSION	word name pattern list then
vocab	0.166	zshmisc:ALIASING	zshexpn:FILENAME EXPANSION › Notes	eligible quoting expansion unquoted any
vocab	0.166	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:FILENAME GENERATION › Globbing Flags	match pattern string mbegin mend
vocab	0.166	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:PARAMETERS USED BY THE SHELL	prompt psvar text character array
vocab	0.166	zshoptions:DESCRIPTION OF OPTIONS › History	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	file commands old read find
vocab	0.166	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	file path commands directory path_dirs
vocab	0.165	zshmisc:COMPLEX COMMANDS	zshbuiltins:SHELL BUILTIN COMMANDS › trap [ arg ] [ sig ... ]	executed traps trap reset list
vocab	0.165	zshmisc:ALIASING › Alias difficulties	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	alias word expand builtin corresponds
vocab	0.165	zshmisc:FUNCTIONS	zshmisc:ANONYMOUS FUNCTIONS	function functions stored arguments inside
vocab	0.165	zshmisc:SPECIAL FUNCTIONS › Hook Functions	zshexpn:HISTORY EXPANSION › Event Designators	history line complete modifier newline
vocab	0.165	zshparam:ARRAY PARAMETERS › Array Element Assignment	zshbuiltins:SHELL BUILTIN COMMANDS › set [ {+|-}options | {+|-}o [ option_name ] ] ... [ {+|-}A [ name ] ]	array values name arrays assigning
vocab	0.165	zshparam:POSITIONAL PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS › exec [ -cl ] [ -a argv0 ] [ command [ arg ... ] ]	argv shell function section builtin
vocab	0.164	zshmisc:ANONYMOUS FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	function variable local functions script
vocab	0.164	zshparam:LOCAL PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS › export [ name[=value] ... ]	scope export created typeset parameter
vocab	0.163	zshparam:ARRAY PARAMETERS › Array Element Assignment	zshparam:POSITIONAL PARAMETERS	array values assignment accommodate shifting
vocab	0.163	zshparam:PARAMETERS USED BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › set [ {+|-}options | {+|-}o [ option_name ] ] ... [ {+|-}A [ name ] ]	array set printed parameters name
vocab	0.163	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › read [ -rszpqAclneE ] [ -t [ num ] ] [ -k [ num ] ] [ -d delim ]	read character splitting when this
vocab	0.163	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › shift [ -p ] [ n ] [ name ... ]	positional parameters given instead arguments
vocab	0.162	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:SPECIAL FUNCTIONS › Trap Functions	sublist signal executed status terminated
vocab	0.162	zshmisc:SIMPLE PROMPT ESCAPES › Visual effects	zshoptions:DESCRIPTION OF OPTIONS › Zle	width characters assume character start
vocab	0.162	zshoptions:DESCRIPTION OF OPTIONS › History	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	history file when this command
vocab	0.162	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	status restored file return commands
vocab	0.162	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	function alias name non exit
vocab	0.162	zshbuiltins:SHELL BUILTIN COMMANDS › read [ -rszpqAclneE ] [ -t [ num ] ] [ -k [ num ] ] [ -d delim ]	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	flag flags assigned name scalar
vocab	0.161	zshmisc:SPECIAL FUNCTIONS › Trap Functions	zshbuiltins:SHELL BUILTIN COMMANDS › autoload [ {+|-}RTUXdkmrtWz ] [ -w ] [ name ... ]	function functions execution defined executed
vocab	0.161	zshexpn:PARAMETER EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS › read [ -rszpqAclneE ] [ -t [ num ] ] [ -k [ num ] ] [ -d delim ]	name word splitting input first
vocab	0.161	zshexpn:FILENAME EXPANSION › Dynamic named directories	zshbuiltins:SHELL BUILTIN COMMANDS › return [ n ]	return status zero function non
vocab	0.161	zshparam:ARRAY PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS › read [ -rszpqAclneE ] [ -t [ num ] ] [ -k [ num ] ] [ -d delim ]	key assigned name index value
vocab	0.161	zshparam:POSITIONAL PARAMETERS	zshoptions:SINGLE LETTER OPTIONS › Also note	positional parameters arrays line set
vocab	0.161	zshparam:LOCAL PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS › local [ {+|-}AHUahlprtux ] [ {+|-}EFLRZi [ n ] ] [ name[=value] ... ]	local exported typeset same case
vocab	0.161	zshbuiltins:SHELL BUILTIN COMMANDS › . file [ arg ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › autoload [ {+|-}RTUXdkmrtWz ] [ -w ] [ name ... ]	file found path positional was
vocab	0.161	zshbuiltins:SHELL BUILTIN COMMANDS › autoload [ {+|-}RTUXdkmrtWz ] [ -w ] [ name ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	function path functions name alias
vocab	0.16	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshbuiltins:SHELL BUILTIN COMMANDS › break [ n ]	repeat select until loop while
vocab	0.16	zshmisc:AUTOLOADING FUNCTIONS	zshmisc:SPECIAL FUNCTIONS › Hook Functions	function functions executed file element
vocab	0.16	zshexpn:HISTORY EXPANSION › Overview	zshexpn:PARAMETER EXPANSION	foo word refers expansions history
vocab	0.16	zshoptions:DESCRIPTION OF OPTIONS › Initialisation	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	parameters local flag typeset readonly
vocab	0.159	zshmisc:ALIASING	zshbuiltins:SHELL BUILTIN COMMANDS › unalias [ -ams ] name ...	unalias aliases global remove works
vocab	0.159	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	escape arguments null history echo
vocab	0.159	zshbuiltins:SHELL BUILTIN COMMANDS › dirs [ -lpv ]	zshbuiltins:SHELL BUILTIN COMMANDS › getln [ -AclneE ] name ...	stack and in the to
vocab	0.158	zshmisc:COMMENTS	zshmisc:REDIRECTION	word newline characters causes up
vocab	0.158	zshmisc:ALIASING	zshoptions:DESCRIPTION OF OPTIONS › Completion	completion word alias automatically remove
vocab	0.158	zshmisc:COMMAND EXECUTION	zshmisc:AUTOLOADING FUNCTIONS	function file executable message directory
vocab	0.158	zshmisc:ARITHMETIC EVALUATION	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	integer point variable character float
vocab	0.158	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	file generation pattern filename true
vocab	0.158	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshbuiltins:SHELL BUILTIN COMMANDS › printf [ -v name ] format [ arg ... ]	sequences escape recognised argument string
vocab	0.158	zshmisc:SIMPLE PROMPT ESCAPES › Shell state	zshexpn:FILENAME EXPANSION	directory replaced number working equivalent
vocab	0.158	zshmisc:SIMPLE PROMPT ESCAPES › Shell state	zshexpn:FILENAME EXPANSION › Dynamic named directories	directory dynamic function static home
vocab	0.158	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	exit script commands allow this
vocab	0.158	zshbuiltins:SHELL BUILTIN COMMANDS › autoload [ {+|-}RTUXdkmrtWz ] [ -w ] [ name ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › zmodload -R modalias ...	loaded autoload given autoloaded function
vocab	0.158	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	zshbuiltins:SHELL BUILTIN COMMANDS › trap [ arg ] [ sig ... ]	arg under specified hook environment
vocab	0.158	zshbuiltins:SHELL BUILTIN COMMANDS › unhash [ -adfms ] name ...	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	hash table passed causes matching
vocab	0.157	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshexpn:COMMAND SUBSTITUTION	foo substitution words quotes result
vocab	0.157	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › zcompile -t file [ name ... ]	function functions file output definitions
vocab	0.156	zshmisc:COMPLEX COMMANDS	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	words word list treated pattern
vocab	0.156	zshmisc:COMPLEX COMMANDS	zshexpn:FILENAME GENERATION › Glob Qualifiers	list pattern execute code executed
vocab	0.156	zshmisc:FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS › return [ n ]	return trap function executed passed
vocab	0.156	zshmisc:SIMPLE PROMPT ESCAPES › Shell state	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	integer file code script function
vocab	0.156	zshexpn:HISTORY EXPANSION › Modifiers	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	path file correct directory used
vocab	0.156	zshexpn:FILENAME GENERATION	zshparam:ARRAY PARAMETERS › Subscript Flags	pattern matching gives word matched
vocab	0.156	zshexpn:FILENAME GENERATION › Glob Operators	zshexpn:FILENAME GENERATION › Recursive Globbing	bar matches foo directories form
vocab	0.156	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	zshbuiltins:SHELL BUILTIN COMMANDS › unsetopt [ {+|-}options | {+|-}o option_name ] [ name ... ]	patterns options glob all them
vocab	0.156	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	reserved path name printed function
vocab	0.155	zshmisc:ALIASING	zshexpn:HISTORY EXPANSION › Modifiers	foo expansion word remove glob
vocab	0.155	zshmisc:ANONYMOUS FUNCTIONS	zshparam:LOCAL PARAMETERS	local scope function hidden variable
vocab	0.154	zshmisc:JOBS	zshparam:PARAMETERS USED BY THE SHELL	you suspended prompt terminal job
vocab	0.154	zshexpn:FILENAME GENERATION › Glob Qualifiers	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	files file accessed directory search
vocab	0.154	zshparam:PARAMETERS SET BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › History	history you file seconds event
vocab	0.153	zshmisc:PRECOMMAND MODIFIERS	zshparam:POSITIONAL PARAMETERS	argv equivalent builtin function shell
vocab	0.153	zshmisc:REDIRECTION	zshexpn:FILENAME GENERATION	word filename error generation unset
vocab	0.153	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshexpn:PROCESS SUBSTITUTION	file descriptor open redirection close
vocab	0.153	zshmisc:MULTIOS	zshmisc:CONDITIONAL EXPRESSIONS	file file2 file1 descriptor process
vocab	0.153	zshexpn:HISTORY EXPANSION › Modifiers	zshexpn:FILENAME GENERATION	filename generation pattern glob word
vocab	0.153	zshexpn:HISTORY EXPANSION › Modifiers	zshbuiltins:SHELL BUILTIN COMMANDS › whence [ -vcwfpamsS ] [ -x num ] name ...	path pathname component symlink word
vocab	0.153	zshexpn:PROCESS SUBSTITUTION	zshbuiltins:SHELL BUILTIN COMMANDS › zcompile -t file [ name ... ]	file memory form function files
vocab	0.153	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	this force foo family output
vocab	0.153	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › eval [ arg ... ]	return status commands execute zero
vocab	0.152	zshmisc:RESERVED WORDS	zshbuiltins:SHELL BUILTIN COMMANDS › break [ n ]	repeat select until while then
vocab	0.152	zshmisc:REDIRECTION	zshexpn:PARAMETER EXPANSION › Examples	file word substitution produces quotes
vocab	0.152	zshmisc:CONDITIONAL EXPRESSIONS	zshbuiltins:SHELL BUILTIN COMMANDS › zcompile -t file [ name ... ]	file form if files match
vocab	0.152	zshexpn:HISTORY EXPANSION	zshoptions:DESCRIPTION OF OPTIONS › Prompting	prompt expansion you line your
vocab	0.152	zshexpn:HISTORY EXPANSION › Modifiers	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	path directory symbolic foo component
vocab	0.152	zshexpn:PARAMETER EXPANSION › Examples	zshparam:ARRAY PARAMETERS › Subscript Parsing	double subscript array quotes foo
vocab	0.152	zshexpn:FILENAME GENERATION › ksh-like Glob Operators	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	ksh_glob parentheses recursive pattern preceding
vocab	0.152	zshoptions:DESCRIPTION OF OPTIONS › Completion	zshbuiltins:SHELL BUILTIN COMMANDS › read [ -rszpqAclneE ] [ -t [ num ] ] [ -k [ num ] ] [ -d delim ]	completion cursor character word first
vocab	0.152	zshoptions:DESCRIPTION OF OPTIONS › Job Control	zshbuiltins:SHELL BUILTIN COMMANDS › kill -L	job signal jobs sent cont
vocab	0.151	zshmisc:SIMPLE COMMANDS & PIPELINES	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	pipeline status output commands executed
vocab	0.151	zshmisc:ALIASING	zshexpn:HISTORY EXPANSION › Overview	foo word history bar reference
vocab	0.151	zshmisc:ALIASING	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	alias function foo definition quoting
vocab	0.151	zshmisc:REDIRECTION	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	word file error redirection expansion
vocab	0.151	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	prompt escape string sequences character
vocab	0.151	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:HISTORY EXPANSION › Overview	event history expansion optional character
vocab	0.151	zshmisc:SIMPLE PROMPT ESCAPES › Visual effects	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	width characters character string include
vocab	0.151	zshexpn:FILENAME GENERATION › Globbing Flags	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	pattern parentheses ksh_glob extended_glob grouping
vocab	0.15	zshmisc:COMPLEX COMMANDS	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	parameters word parameter words list
