type	weight	node_a	node_b	shared
entity	5	zshoptions:OPTION ALIASES	zshoptions:SINGLE LETTER OPTIONS › Default set	GLOB_DOTS MAIL_WARNING SINGLE_COMMAND CHASE_LINKS SHIN_STDIN
entity	4	zshmisc:SPECIAL FUNCTIONS › Trap Functions	zshbuiltins:SHELL BUILTIN COMMANDS › trap [ arg ] [ sig ... ]	DEBUG_BEFORE_CMD TRAPNAL TRAPDEBUG SIGERR
entity	4	zshexpn:HISTORY EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	EXPANSION HISTSIZE SEQUENCES PROMPT
entity	4	zshexpn:HISTORY EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	EXPANSION HISTSIZE SEQUENCES PROMPT
entity	4	zshexpn:PARAMETER EXPANSION	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	GLOB_SUBST KSH_ARRAYS MULTIBYTE
entity	4	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	MULTIBYTE SEQUENCES EXPANSION PROMPT
entity	4	zshexpn:FILENAME GENERATION › Globbing Flags	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	MULTIBYTE MULTIBYTE_SUPPORT KSH_GLOB EXTENDED_GLOB
entity	4	zshexpn:FILENAME GENERATION › Glob Qualifiers	zshoptions:SINGLE LETTER OPTIONS › Default set	MARK_DIRS NULL_GLOB GLOB_DOTS LIST_TYPES
entity	4	zshparam:PARAMETERS SET BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	LINENO SIGINT POSIX_ARGZERO FUNCTION_ARGZERO
entity	4	zshparam:PARAMETERS USED BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	MULTIBYTE SEQUENCES EXPANSION PROMPT
entity	4	zshparam:PARAMETERS USED BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	PATH MULTIBYTE FIGNORE
entity	4	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	zshbuiltins:SHELL BUILTIN COMMANDS › pushd [ -qsLP ] {+|-}n	HOME PUSHD_SILENT PUSHD_MINUS PUSHD_TO_HOME
entity	4	zshoptions:DESCRIPTION OF OPTIONS › Completion	zshoptions:SINGLE LETTER OPTIONS › Default set	REC_EXACT AUTO_LIST MENU_COMPLETE LIST_TYPES
entity	4	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	zshoptions:SINGLE LETTER OPTIONS › Default set	MARK_DIRS NULL_GLOB IGNORE_BRACES GLOB_DOTS
entity	4	zshoptions:DESCRIPTION OF OPTIONS › Job Control	zshoptions:SINGLE LETTER OPTIONS › Default set	MONITOR AUTO_RESUME LONG_LIST_JOBS NOTIFY
entity	4	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	FUNCTION_ARGZERO LOCAL_TRAPS POSIX_ARGZERO
entity	4	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshoptions:DESCRIPTION OF OPTIONS › Shell State	LOCAL_OPTIONS PRIVILEGED RESTRICTED
entity	3	zshmisc:COMPLEX COMMANDS	zshparam:PARAMETERS SET BY THE SHELL	TRY_BLOCK_ERROR EXIT
entity	3	zshmisc:COMPLEX COMMANDS	zshparam:PARAMETERS USED BY THE SHELL	TIMEFMT PROMPT3 REPLY
entity	3	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	SHORT_LOOPS SHORT_REPEAT
entity	3	zshmisc:ERRORS	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	POSIX CONTINUE_ON_ERROR POSIX_BUILTINS
entity	3	zshmisc:REDIRECTION	zshoptions:DESCRIPTION OF OPTIONS › Input/Output	CLOBBER APPEND_CREATE
entity	3	zshmisc:SPECIAL FUNCTIONS › Hook Functions	zshoptions:DESCRIPTION OF OPTIONS › History	SHARE_HISTORY HISTFILE INC_APPEND_HISTORY
entity	3	zshmisc:JOBS	zshoptions:DESCRIPTION OF OPTIONS › Job Control	MONITOR CONT NOTIFY
entity	3	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	ASCII KSH_ARRAYS EXTENDED_GLOB
entity	3	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	PROMPT_PERCENT PROMPT_BANG PROMPT_SUBST
entity	3	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshoptions:DESCRIPTION OF OPTIONS › Prompting	PROMPT_PERCENT PROMPT_BANG PROMPT_SUBST
entity	3	zshexpn:HISTORY EXPANSION	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	EXPANSION SEQUENCES PROMPT
entity	3	zshexpn:HISTORY EXPANSION	zshoptions:DESCRIPTION OF OPTIONS › Prompting	EXPANSION SEQUENCES PROMPT
entity	3	zshexpn:HISTORY EXPANSION	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	EXPANSION SEQUENCES PROMPT
entity	3	zshexpn:HISTORY EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	EXPANSION SEQUENCES PROMPT
entity	3	zshexpn:HISTORY EXPANSION › Modifiers	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	PATH FILENAME EXTENDED_GLOB
entity	3	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	MULTIBYTE GLOB_SUBST EXTENDED_GLOB
entity	3	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	EXPANSION SEQUENCES PROMPT
entity	3	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	ASCII MULTIBYTE KSH_ARRAYS
entity	3	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	SEQUENCES EXPANSION PROMPT
