shared	section_a	section_b	connectors
2	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:PARAMETERS USED BY THE SHELL	EXTENDED_GLOB zshexpn
2	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:ARRAY PARAMETERS	KSH_ARRAYS zshexpn
2	zshmisc:CONDITIONAL EXPRESSIONS	zshmisc:SIMPLE PROMPT ESCAPES	POSIX zshexpn
2	zshmisc:CONDITIONAL EXPRESSIONS	zshmisc:ERRORS	POSIX_BUILTINS POSIX
2	zshmisc:ARITHMETIC EVALUATION	zshparam:LOCAL PARAMETERS	integer typeset
2	zshmisc:ANONYMOUS FUNCTIONS	zshparam:LOCAL PARAMETERS	scope local
2	zshexpn:PARAMETER EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	PROMPT_PERCENT MULTIBYTE
2	zshexpn:PARAMETER EXPANSION	zshoptions:SINGLE LETTER OPTIONS	SH_WORD_SPLIT RC_EXPAND_PARAM
2	zshexpn:PARAMETER EXPANSION	zshmisc:CONDITIONAL EXPRESSIONS	ASCII KSH_ARRAYS
2	zshexpn:HISTORY EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	HISTSIZE EXTENDED_GLOB
2	zshexpn:HISTORY EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	HIST_SUBST_PATTERN EXTENDED_GLOB
2	zshexpn:FILENAME GENERATION	zshmisc:COMPLEX COMMANDS	SH_GLOB REPLY
2	zshexpn:FILENAME EXPANSION	zshparam:LOCAL PARAMETERS	PATH typeset
2	zshexpn:FILENAME EXPANSION	zshmisc:ERRORS	NOMATCH typeset
2	zshexpn:DESCRIPTION	zshoptions:DESCRIPTION OF OPTIONS	Filename Expansion Filename Generation
2	zshexpn:BRACE EXPANSION	zshmisc:MULTIOS	globbing filename generation
2	zshexpn:ARITHMETIC EXPANSION	zshparam:ARRAY PARAMETERS	parameter expansion arithmetic expansion
2	zshexpn:ARITHMETIC EXPANSION	zshexpn:PARAMETER EXPANSION	command substitution arithmetic expansion
2	zshbuiltins:SHELL BUILTIN COMMANDS	zshmisc:SIMPLE COMMANDS & PIPELINES	coprocess zshparam
2	zshbuiltins:SHELL BUILTIN COMMANDS	zshmisc:SIGNALS	zshmisc zshexpn
2	zshbuiltins:SHELL BUILTIN COMMANDS	zshmisc:ERRORS	POSIX_BUILTINS POSIX
2	zshbuiltins:SHELL BUILTIN COMMANDS	zshmisc:AUTOLOADING FUNCTIONS	fpath KSH_AUTOLOAD
2	zshbuiltins:SHELL BUILTIN COMMANDS	zshexpn:FILENAME EXPANSION	PUSHD_MINUS PATH
