type	weight	section_a	section_b	shared_pointers
vocab	0.163	zshmisc:ERRORS	zshoptions:DESCRIPTION OF OPTIONS	errors interactive file options behaviour script
vocab	0.163	zshmisc:QUOTING	zshexpn:PARAMETER EXPANSION	quotes character string quoted resulting characters
vocab	0.163	zshexpn:DESCRIPTION	zshexpn:HISTORY EXPANSION	expansion expansions history filename immediately substitution
vocab	0.162	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:PARAMETERS USED BY THE SHELL	prompt psvar character array text space
vocab	0.161	zshparam:POSITIONAL PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS	parameters options array positional values section
vocab	0.16	zshmisc:REDIRECTION	zshexpn:HISTORY EXPANSION	word file input expansion filename substitution
vocab	0.16	zshmisc:ANONYMOUS FUNCTIONS	zshmisc:SPECIAL FUNCTIONS	function functions executed immediately normal called
vocab	0.159	zshmisc:SIMPLE COMMANDS & PIPELINES	zshoptions:DESCRIPTION OF OPTIONS	status pipeline commands list foo executed
vocab	0.159	zshmisc:JOBS	zshparam:PARAMETERS SET BY THE SHELL	you id code process interrupt started
vocab	0.158	zshmisc:SIMPLE COMMANDS & PIPELINES	zshbuiltins:SHELL BUILTIN COMMANDS	status value list job executed output
vocab	0.158	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshoptions:DESCRIPTION OF OPTIONS	prompt history expansion sequences character escape
vocab	0.158	zshmisc:SIMPLE PROMPT ESCAPES	zshexpn:HISTORY EXPANSION	components path component extension character history
vocab	0.158	zshexpn:BRACE EXPANSION	zshexpn:FILENAME GENERATION	character match foo characters bar multibyte
vocab	0.157	zshmisc:REDIRECTION	zshbuiltins:SHELL BUILTIN COMMANDS	file word output input standard list
vocab	0.157	zshmisc:AUTOLOADING FUNCTIONS	zshmisc:SPECIAL FUNCTIONS	function functions executed defined file context
vocab	0.156	zshmisc:COMPLEX COMMANDS	zshexpn:HISTORY EXPANSION	list word words always then treated
vocab	0.156	zshmisc:QUOTING	zshexpn:COMMAND SUBSTITUTION	enclosed quotes quoted substitution single double
vocab	0.156	zshparam:DESCRIPTION	zshparam:POSITIONAL PARAMETERS	parameters array value assignment parameter assigning
vocab	0.155	zshmisc:ANONYMOUS FUNCTIONS	zshparam:LOCAL PARAMETERS	local scope function hidden variable name
vocab	0.154	zshmisc:FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS	function functions trap exit alias return
vocab	0.153	zshmisc:COMMAND EXECUTION	zshmisc:CONDITIONAL EXPRESSIONS	file exists directory executable if fails
vocab	0.153	zshmisc:SIGNALS	zshoptions:DESCRIPTION OF OPTIONS	jobs exit section waiting functions err_exit
vocab	0.153	zshmisc:SIMPLE PROMPT ESCAPES	zshexpn:FILENAME EXPANSION	directory dynamic path prefix home static
vocab	0.153	zshexpn:PARAMETER EXPANSION	zshparam:PARAMETERS SET BY THE SHELL	array value name flags substitution parameter
vocab	0.152	zshmisc:JOBS	zshmisc:SIGNALS	jobs background parent monitor asynchronously process
vocab	0.151	zshmisc:PRECOMMAND MODIFIERS	zshparam:PARAMETERS USED BY THE SHELL	correction environment spelling argv0 path flag
vocab	0.151	zshmisc:MULTIOS	zshexpn:FILENAME GENERATION	files foo file bar sort cat
vocab	0.151	zshexpn:HISTORY EXPANSION	zshexpn:COMMAND SUBSTITUTION	foo substitution filename expansions expansion like
vocab	0.151	zshexpn:HISTORY EXPANSION	zshparam:ARRAY PARAMETERS	foo quotes backslash match delimiter character
vocab	0.15	zshmisc:COMPLEX COMMANDS	zshparam:PARAMETERS SET BY THE SHELL	executed code try_block_error list always block
vocab	0.15	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	prompt escape sequences character string current
vocab	0.148	zshmisc:ALIASING	zshexpn:PARAMETER EXPANSION	foo word quoting expansion pattern nested
vocab	0.148	zshmisc:COMMAND EXECUTION	zshmisc:SIMPLE PROMPT ESCAPES	format file system directory specifies function
vocab	0.147	zshexpn:ARITHMETIC EXPANSION	zshparam:ARRAY PARAMETERS	exp value arithmetic expression expansion string
vocab	0.146	zshmisc:PRECOMMAND MODIFIERS	zshexpn:HISTORY EXPANSION	modifier path word modifiers replacement words
vocab	0.146	zshmisc:JOBS	zshparam:PARAMETERS USED BY THE SHELL	you prompt suspended terminal stty job
vocab	0.146	zshexpn:DESCRIPTION	zshexpn:COMMAND SUBSTITUTION	expansion expansions substitution filename mentioned unquoted
vocab	0.145	zshmisc:ALIASING	zshmisc:FUNCTIONS	alias defined functions word builtin function
vocab	0.145	zshmisc:FUNCTIONS	zshmisc:ANONYMOUS FUNCTIONS	function functions arguments stored inside executed
vocab	0.144	zshexpn:PARAMETER EXPANSION	zshparam:POSITIONAL PARAMETERS	array parameters value arrays parameter positional
vocab	0.143	zshmisc:ERRORS	zshbuiltins:SHELL BUILTIN COMMANDS	module options autoload file all errors
vocab	0.143	zshmisc:COMMAND EXECUTION	zshexpn:FILENAME EXPANSION	directory exists name status function directories
vocab	0.143	zshexpn:FILENAME GENERATION	zshparam:PARAMETERS SET BY THE SHELL	id group code array qualifier file
vocab	0.143	zshoptions:SPECIFYING OPTIONS	zshoptions:DESCRIPTION OF OPTIONS	options beep unsetopt ksh local_options option
vocab	0.142	zshexpn:HISTORY EXPANSION	zshparam:PARAMETERS SET BY THE SHELL	history event you reference previous number
vocab	0.142	zshparam:POSITIONAL PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS	array parameters etc values options section
vocab	0.14	zshmisc:MULTIOS	zshmisc:CONDITIONAL EXPRESSIONS	file file2 file1 descriptor foo bar
vocab	0.139	zshmisc:ARITHMETIC EVALUATION	zshmisc:SIMPLE PROMPT ESCAPES	format integer leading number character decimal
vocab	0.139	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:PARAMETER EXPANSION	pattern true string match string1 var
vocab	0.138	zshmisc:COMMAND EXECUTION	zshmisc:SPECIAL FUNCTIONS	function status executed functions execute file
vocab	0.138	zshexpn:HISTORY EXPANSION	zshexpn:FILENAME EXPANSION	directory path word expansion previous match
vocab	0.137	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshmisc:RESERVED WORDS	repeat select recognized foreach elif until
vocab	0.136	zshmisc:COMMENTS	zshmisc:QUOTING	histchars newline character ignored characters default
vocab	0.136	zshmisc:MULTIOS	zshexpn:COMMAND SUBSTITUTION	cat foo output generation expansion standard
vocab	0.136	zshmisc:SIMPLE PROMPT ESCAPES	zshexpn:FILENAME GENERATION	character characters file directory number current
vocab	0.136	zshoptions:DESCRIPTION OF OPTIONS	zshoptions:SINGLE LETTER OPTIONS	privileged err_exit allow restricted ksh interactive
vocab	0.135	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:JOBS	job pipeline background terminated output parent
vocab	0.135	zshmisc:PRECOMMAND MODIFIERS	zshmisc:SPECIAL FUNCTIONS	executed precommand trapexit function modifier taken
vocab	0.134	zshmisc:ARITHMETIC EVALUATION	zshexpn:PARAMETER EXPANSION	value name character scalar output substitution
vocab	0.134	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshbuiltins:SHELL BUILTIN COMMANDS	true array if argument current elements
vocab	0.133	zshmisc:COMMENTS	zshmisc:REDIRECTION	word newline causes characters character up
vocab	0.133	zshmisc:ARITHMETIC EVALUATION	zshexpn:FILENAME GENERATION	character operators base operator precedence expression
vocab	0.132	zshmisc:ALIASING	zshexpn:HISTORY EXPANSION	word foo expansion history remove reference
vocab	0.132	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshexpn:PROCESS SUBSTITUTION	file descriptor redirection open close list
vocab	0.132	zshmisc:CONDITIONAL EXPRESSIONS	zshbuiltins:SHELL BUILTIN COMMANDS	file true if module pattern directory
vocab	0.131	zshexpn:BRACE EXPANSION	zshoptions:DESCRIPTION OF OPTIONS	character characters brace foo expansion filename
vocab	0.13	zshmisc:REDIRECTIONS WITH NO COMMAND	zshoptions:DESCRIPTION OF OPTIONS	nullcmd when file default ksh readnullcmd
vocab	0.13	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:ARRAY PARAMETERS	true exp exp2 exp1 pattern match
vocab	0.129	zshmisc:COMMAND EXECUTION	zshparam:PARAMETERS SET BY THE SHELL	script operating file system invoked function
vocab	0.128	zshmisc:PRECOMMAND MODIFIERS	zshparam:POSITIONAL PARAMETERS	argv equivalent options effect function itself
vocab	0.128	zshmisc:RESERVED WORDS	zshparam:LOCAL PARAMETERS	local export declare readonly typeset while
vocab	0.128	zshmisc:REDIRECTION	zshparam:PARAMETERS USED BY THE SHELL	file output input list terminal it
vocab	0.128	zshparam:LOCAL PARAMETERS	zshparam:PARAMETERS SET BY THE SHELL	local parameters parameter assigning made value
vocab	0.127	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:REDIRECTION	standard output input word pipelines coprocess
vocab	0.127	zshmisc:COMMENTS	zshoptions:DESCRIPTION OF OPTIONS	interactive shells character word default characters
vocab	0.127	zshmisc:COMMAND EXECUTION	zshmisc:AUTOLOADING FUNCTIONS	file function directory message element executable
vocab	0.127	zshmisc:SIMPLE PROMPT ESCAPES	zshexpn:PARAMETER EXPANSION	width characters name leading character value
vocab	0.127	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshexpn:FILENAME GENERATION	character string least array characters at
vocab	0.126	zshmisc:PRECOMMAND MODIFIERS	zshexpn:FILENAME GENERATION	files flag modifier prepended string path
vocab	0.126	zshmisc:COMPLEX COMMANDS	zshmisc:RESERVED WORDS	words esac elif repeat word done
vocab	0.125	zshmisc:SPECIAL FUNCTIONS	zshexpn:FILENAME EXPANSION	status functions function return directory array
vocab	0.125	zshmisc:ARITHMETIC EVALUATION	zshparam:PARAMETERS USED BY THE SHELL	character output value it floating number
vocab	0.124	zshmisc:QUOTING	zshexpn:HISTORY EXPANSION	quotes character quoted string histchars resulting
vocab	0.124	zshmisc:MULTIOS	zshbuiltins:SHELL BUILTIN COMMANDS	file output job specified all exit
vocab	0.123	zshmisc:SIMPLE COMMANDS & PIPELINES	zshexpn:PARAMETER EXPANSION	foo value words first word second
vocab	0.123	zshmisc:COMPLEX COMMANDS	zshparam:ARRAY PARAMETERS	list exp pattern expression value evaluates
vocab	0.123	zshmisc:QUOTING	zshparam:ARRAY PARAMETERS	quotes pair quote double character string
vocab	0.123	zshmisc:MULTIOS	zshexpn:PARAMETER EXPANSION	foo cat bar sort output baz
vocab	0.123	zshoptions:SPECIFYING OPTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	options name names letter emulate builtins
vocab	0.122	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshmisc:CONDITIONAL EXPRESSIONS	file descriptor open parenthesised syntax expression
vocab	0.122	zshmisc:MULTIOS	zshmisc:REDIRECTIONS WITH NO COMMAND	cat redirection file redirections output thus
vocab	0.121	zshmisc:SPECIAL FUNCTIONS	zshexpn:PARAMETER EXPANSION	array value name history is first
vocab	0.121	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:PARAMETER EXPANSION	expansion sequences character substitution string prompt
vocab	0.121	zshexpn:PROCESS SUBSTITUTION	zshparam:PARAMETERS USED BY THE SHELL	file list temporary paste this process
vocab	0.12	zshmisc:COMPLEX COMMANDS	zshexpn:PROCESS SUBSTITUTION	list subshell then block file code
vocab	0.119	zshmisc:COMPLEX COMMANDS	zshmisc:ANONYMOUS FUNCTIONS	function list outside executed treated name
vocab	0.119	zshmisc:ERRORS	zshexpn:FILENAME GENERATION	errors qualifiers pattern glob parse matching
vocab	0.119	zshparam:LOCAL PARAMETERS	zshparam:PARAMETERS USED BY THE SHELL	local parameter new path value parameters
vocab	0.118	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:ARRAY PARAMETERS	array true elements element string character
vocab	0.118	zshexpn:DESCRIPTION	zshexpn:PARAMETER EXPANSION	expansion expansions substitution performed filename characters
vocab	0.118	zshexpn:HISTORY EXPANSION	zshexpn:BRACE EXPANSION	character foo bar expansion filename words
vocab	0.117	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS	file this it new unset brace
vocab	0.117	zshmisc:JOBS	zshexpn:PROCESS SUBSTITUTION	job process parent disowned running then
vocab	0.117	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:DESCRIPTION	expansion history substitution these expanded arithmetic
vocab	0.117	zshparam:ARRAY PARAMETERS	zshparam:PARAMETERS SET BY THE SHELL	array value index name typeset this
vocab	0.116	zshmisc:COMMAND EXECUTION	zshparam:PARAMETERS USED BY THE SHELL	file system message format directory printed
vocab	0.116	zshexpn:FILENAME EXPANSION	zshparam:ARRAY PARAMETERS	array name match value element elements
vocab	0.115	zshmisc:SPECIAL FUNCTIONS	zshmisc:SIMPLE PROMPT ESCAPES	executed function status line history handled
vocab	0.114	zshmisc:REDIRECTION	zshexpn:FILENAME GENERATION	file word character except matches digit
vocab	0.114	zshmisc:MULTIOS	zshmisc:SIGNALS	multios exit process parent wait run
vocab	0.113	zshmisc:PRECOMMAND MODIFIERS	zshparam:PARAMETERS SET BY THE SHELL	argv executed process invoke environment builtin
vocab	0.113	zshmisc:COMPLEX COMMANDS	zshmisc:FUNCTIONS	executed function execute execution functions exit
vocab	0.113	zshmisc:ALIASING	zshexpn:FILENAME GENERATION	foo pattern glob bar word string
vocab	0.113	zshmisc:REDIRECTION	zshexpn:COMMAND SUBSTITUTION	output word standard substitution quotes filename
vocab	0.113	zshmisc:REDIRECTIONS WITH NO COMMAND	zshparam:PARAMETERS USED BY THE SHELL	terminal default nullcmd value csh readnullcmd
vocab	0.113	zshmisc:FUNCTIONS	zshexpn:FILENAME EXPANSION	directory functions function return calls names
vocab	0.112	zshmisc:COMPLEX COMMANDS	zshmisc:JOBS	try list then pipeline function do
vocab	0.112	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshoptions:DESCRIPTION OF OPTIONS	list commands word form short pattern
vocab	0.112	zshmisc:ALIASING	zshmisc:REDIRECTION	word input expansion it quote redirection
vocab	0.112	zshexpn:COMMAND SUBSTITUTION	zshexpn:FILENAME GENERATION	foo parentheses filename like generation ifs
vocab	0.111	zshmisc:SIMPLE COMMANDS & PIPELINES	zshparam:PARAMETERS SET BY THE SHELL	executed value status pipeline last signal
vocab	0.111	zshmisc:AUTOLOADING FUNCTIONS	zshexpn:FILENAME EXPANSION	directory function functions calls element named
vocab	0.111	zshexpn:FILENAME EXPANSION	zshparam:PARAMETERS SET BY THE SHELL	directory sufficient array name stack function
vocab	0.11	zshmisc:PRECOMMAND MODIFIERS	zshmisc:RESERVED WORDS	nocorrect words done reserved nor word
vocab	0.11	zshmisc:COMMENTS	zshparam:PARAMETERS USED BY THE SHELL	histchars character interactive default characters causes
vocab	0.11	zshmisc:AUTOLOADING FUNCTIONS	zshparam:PARAMETERS USED BY THE SHELL	fpath file suffix functions element files
vocab	0.109	zshmisc:SIMPLE COMMANDS & PIPELINES	zshexpn:FILENAME GENERATION	foo list sublist last operators pipeline
vocab	0.109	zshmisc:FUNCTIONS	zshparam:POSITIONAL PARAMETERS	positional functions parameters function section builtin
vocab	0.109	zshmisc:SIGNALS	zshbuiltins:SHELL BUILTIN COMMANDS	exit jobs functions section signal see
vocab	0.108	zshmisc:SIMPLE COMMANDS & PIPELINES	zshparam:PARAMETERS USED BY THE SHELL	separated value list commands output it
vocab	0.108	zshmisc:COMMENTS	zshexpn:PARAMETER EXPANSION	word shells character characters third parameter
vocab	0.108	zshmisc:QUOTING	zshmisc:EXPANSION OF PROMPT SEQUENCES	escape character literal string single between
vocab	0.107	zshmisc:REDIRECTION	zshmisc:COMMAND EXECUTION	file exists error it execution becomes
vocab	0.106	zshmisc:COMPLEX COMMANDS	zshmisc:COMMAND EXECUTION	execute execution status function error executed
vocab	0.106	zshmisc:RESERVED WORDS	zshoptions:DESCRIPTION OF OPTIONS	local words disable function ignore_close_braces ignore_braces
vocab	0.106	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshbuiltins:SHELL BUILTIN COMMANDS	sequences escape available prompt character argument
vocab	0.106	zshexpn:PROCESS SUBSTITUTION	zshexpn:FILENAME GENERATION	file list files file1 form must
vocab	0.106	zshexpn:COMMAND SUBSTITUTION	zshoptions:DESCRIPTION OF OPTIONS	foo filename expansion generation output like
vocab	0.106	zshexpn:FILENAME EXPANSION	zshparam:LOCAL PARAMETERS	directory local path name typeset function
vocab	0.105	zshmisc:MULTIOS	zshparam:PARAMETERS USED BY THE SHELL	file output files redirection cat it
vocab	0.105	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshmisc:SIMPLE PROMPT ESCAPES	sequences prompt integer character escape current
vocab	0.104	zshmisc:PRECOMMAND MODIFIERS	zshmisc:COMMENTS	shells interactive word causes non default
vocab	0.104	zshmisc:COMPLEX COMMANDS	zshexpn:FILENAME EXPANSION	status word then list name function
vocab	0.104	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshexpn:FILENAME GENERATION	test list pattern form sublist word
vocab	0.104	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshparam:PARAMETERS USED BY THE SHELL	term list select form commands pattern
vocab	0.104	zshmisc:COMMAND EXECUTION	zshexpn:PROCESS SUBSTITUTION	file subshell operating system program name
vocab	0.104	zshmisc:ARITHMETIC EVALUATION	zshparam:PARAMETERS SET BY THE SHELL	floating value assigning integer point implicitly
vocab	0.103	zshmisc:PRECOMMAND MODIFIERS	zshparam:ARRAY PARAMETERS	flag interpreted name parsing rather string
vocab	0.103	zshmisc:QUOTING	zshoptions:DESCRIPTION OF OPTIONS	character characters single quoted default it
vocab	0.103	zshmisc:COMMAND EXECUTION	zshexpn:FILENAME GENERATION	file executable cmd directory execute directories
vocab	0.103	zshmisc:AUTOLOADING FUNCTIONS	zshparam:PARAMETERS SET BY THE SHELL	function file executed autoloaded functions definition
vocab	0.103	zshmisc:SPECIAL FUNCTIONS	zshmisc:JOBS	job signal function trap you whenever
vocab	0.103	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshexpn:HISTORY EXPANSION	character text string absolute path prompt
vocab	0.103	zshexpn:PROCESS SUBSTITUTION	zshparam:PARAMETERS SET BY THE SHELL	file process code system parent subshell
vocab	0.102	zshmisc:COMPLEX COMMANDS	zshexpn:ARITHMETIC EXPANSION	exp arithmetic evaluated expression section value
vocab	0.101	zshmisc:PRECOMMAND MODIFIERS	zshmisc:COMPLEX COMMANDS	executed word words done name function
vocab	0.101	zshmisc:REDIRECTION	zshmisc:REDIRECTIONS WITH NO COMMAND	file redirection output input standard redirections
vocab	0.101	zshexpn:COMMAND SUBSTITUTION	zshparam:ARRAY PARAMETERS	foo double quotes like parentheses glob_subst
vocab	0.1	zshmisc:COMPLEX COMMANDS	zshmisc:ERRORS	errors execution cause break continue abort
vocab	0.1	zshmisc:ALIASING	zshexpn:COMMAND SUBSTITUTION	foo eligible word expansion unquoted quoted
vocab	0.1	zshmisc:SPECIAL FUNCTIONS	zshmisc:SIGNALS	functions signal exit trapnal handler signals
vocab	0.1	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:HISTORY EXPANSION	file var string qualifier exists match
vocab	0.1	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:ARITHMETIC EXPANSION	exp expression expansion string arithmetic evaluated
vocab	0.1	zshexpn:PROCESS SUBSTITUTION	zshexpn:PARAMETER EXPANSION	substitution name form substitutions file then
vocab	0.099	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshbuiltins:SHELL BUILTIN COMMANDS	list form name word if function
vocab	0.099	zshmisc:QUOTING	zshexpn:FILENAME GENERATION	character string characters enclosed single considered
vocab	0.099	zshmisc:MULTIOS	zshmisc:JOBS	job output you parent process tries
vocab	0.099	zshmisc:SIMPLE PROMPT ESCAPES	zshexpn:BRACE EXPANSION	characters character width negative numbers number
vocab	0.098	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:FILENAME EXPANSION	exists directory match if file string
vocab	0.098	zshmisc:CONDITIONAL EXPRESSIONS	zshparam:PARAMETERS USED BY THE SHELL	file if pattern mbegin mend string
vocab	0.098	zshparam:POSITIONAL PARAMETERS	zshparam:PARAMETERS USED BY THE SHELL	array value parameters values argv number
vocab	0.097	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:MULTIOS	foo output pipe sort redirection finish
vocab	0.097	zshmisc:FUNCTIONS	zshparam:PARAMETERS SET BY THE SHELL	executed function functions read positional builtin
vocab	0.097	zshmisc:ARITHMETIC EVALUATION	zshparam:ARRAY PARAMETERS	expression value arithmetic assignment an character
vocab	0.097	zshparam:POSITIONAL PARAMETERS	zshparam:LOCAL PARAMETERS	parameters new parameter assigning assignment value
vocab	0.096	zshmisc:MULTIOS	zshexpn:HISTORY EXPANSION	foo bar file previous immediately expansion
vocab	0.096	zshmisc:COMMAND EXECUTION	zshmisc:FUNCTIONS	function execute functions execution directory executed
vocab	0.096	zshexpn:DESCRIPTION	zshbuiltins:SHELL BUILTIN COMMANDS	alias aliases expansion all these argument
vocab	0.096	zshexpn:BRACE EXPANSION	zshparam:ARRAY PARAMETERS	foo expression array character characters match
vocab	0.095	zshmisc:COMPLEX COMMANDS	zshmisc:ARITHMETIC EVALUATION	arithmetic expression always list term zero
vocab	0.095	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshmisc:REDIRECTION	word list standard form newline above
vocab	0.095	zshmisc:ANONYMOUS FUNCTIONS	zshexpn:PARAMETER EXPANSION	name treated applied words variable arguments
vocab	0.095	zshexpn:PARAMETER EXPANSION	zshparam:LOCAL PARAMETERS	parameter parameters name value local outermost
vocab	0.095	zshexpn:FILENAME EXPANSION	zshparam:DESCRIPTION	name array value then assignment named
vocab	0.094	zshmisc:REDIRECTIONS WITH NO COMMAND	zshbuiltins:SHELL BUILTIN COMMANDS	given file functions value when name
vocab	0.094	zshexpn:HISTORY EXPANSION	zshexpn:PROCESS SUBSTITUTION	file substitution substitutions list immediately previous
vocab	0.093	zshmisc:SPECIAL FUNCTIONS	zshexpn:FILENAME GENERATION	list array executed file any same
vocab	0.092	zshmisc:QUOTING	zshparam:PARAMETERS USED BY THE SHELL	character pair histchars characters default single
vocab	0.091	zshmisc:SIMPLE COMMANDS & PIPELINES	zshparam:ARRAY PARAMETERS	associative value foo second assignments last
vocab	0.091	zshmisc:SIMPLE PROMPT ESCAPES	zshexpn:PROCESS SUBSTITUTION	file dev supports system argument time
vocab	0.091	zshexpn:BRACE EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	character characters output number array expanded
vocab	0.091	zshexpn:FILENAME GENERATION	zshparam:DESCRIPTION	array pattern string characters value name
vocab	0.09	zshmisc:OPENING FILE DESCRIPTORS USING PARAMETERS	zshbuiltins:SHELL BUILTIN COMMANDS	file descriptor new arguments it param
vocab	0.09	zshmisc:ARITHMETIC EVALUATION	zshexpn:HISTORY EXPANSION	character expression logical decimal leading substitution
vocab	0.089	zshmisc:COMMENTS	zshexpn:HISTORY EXPANSION	word histchars character newline up all
vocab	0.089	zshmisc:ALIASING	zshmisc:SPECIAL FUNCTIONS	defined executed functions history aliases function
vocab	0.089	zshmisc:ALIASING	zshparam:ARRAY PARAMETERS	foo quoting pattern quote an word
vocab	0.089	zshmisc:AUTOLOADING FUNCTIONS	zshexpn:FILENAME GENERATION	files file directory which must other
vocab	0.089	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:ARITHMETIC EXPANSION	expansion subjected arithmetic string substitution see
vocab	0.089	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshparam:DESCRIPTION	type expansion integer arithmetic zshexpn string
vocab	0.089	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshexpn:FILENAME EXPANSION	directory home length array string elements
vocab	0.088	zshmisc:SIMPLE COMMANDS & PIPELINES	zshexpn:HISTORY EXPANSION	foo last input word first list
vocab	0.088	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshexpn:PARAMETER EXPANSION	word form name pattern list rules
vocab	0.088	zshmisc:ALIASING	zshparam:PARAMETERS USED BY THE SHELL	space completion it expansion history pattern
vocab	0.088	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:PARAMETERS SET BY THE SHELL	array privileges current effective gid uid
vocab	0.087	zshmisc:COMPLEX COMMANDS	zshmisc:ALIASING	word executed code always pattern encountered
vocab	0.087	zshmisc:QUOTING	zshbuiltins:SHELL BUILTIN COMMANDS	character quoted arguments print single string
vocab	0.087	zshmisc:ANONYMOUS FUNCTIONS	zshmisc:SIMPLE PROMPT ESCAPES	am function handled outputs definition name
vocab	0.086	zshmisc:ANONYMOUS FUNCTIONS	zshparam:PARAMETERS USED BY THE SHELL	variable local this function functions definitions
vocab	0.086	zshexpn:BRACE EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS	character output is numbers expanded characters
vocab	0.085	zshmisc:ANONYMOUS FUNCTIONS	zshexpn:FILENAME EXPANSION	function name functions local fi arguments
vocab	0.085	zshmisc:SIGNALS	zshexpn:PROCESS SUBSTITUTION	multios process parent wait substitution processes
vocab	0.085	zshmisc:SIMPLE PROMPT ESCAPES	zshparam:DESCRIPTION	integer value attribute number name characters
vocab	0.084	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:ARITHMETIC EVALUATION	output operators logical value status zero
vocab	0.084	zshmisc:RESERVED WORDS	zshbuiltins:SHELL BUILTIN COMMANDS	disable typeset local readonly function disabled
vocab	0.084	zshmisc:ALIASING	zshmisc:AUTOLOADING FUNCTIONS	alias definition defined function functions element
vocab	0.084	zshmisc:REDIRECTION	zshmisc:ARITHMETIC EVALUATION	output standard input digit it truncated
vocab	0.084	zshmisc:AUTOLOADING FUNCTIONS	zshexpn:PARAMETER EXPANSION	element flag which elements first then
vocab	0.084	zshexpn:HISTORY EXPANSION	zshparam:DESCRIPTION	reference expansion parameter value name filename
vocab	0.084	zshparam:ARRAY PARAMETERS	zshparam:LOCAL PARAMETERS	existing parameter value innermost typeset parameters
vocab	0.083	zshmisc:SIGNALS	zshparam:PARAMETERS SET BY THE SHELL	signals process exit signal invoked shell
vocab	0.083	zshmisc:ARITHMETIC EVALUATION	zshexpn:BRACE EXPANSION	numbers character expression output integers decreasing
vocab	0.083	zshexpn:DESCRIPTION	zshparam:PARAMETERS USED BY THE SHELL	expansion history completed filename removed ksh
vocab	0.082	zshmisc:PRECOMMAND MODIFIERS	zshparam:DESCRIPTION	environment name value properties together variable
vocab	0.082	zshmisc:SPECIAL FUNCTIONS	zshparam:ARRAY PARAMETERS	array value element it name that
vocab	0.081	zshmisc:SIMPLE COMMANDS & PIPELINES	zshexpn:PROCESS SUBSTITUTION	list finish pipe job input parent
vocab	0.081	zshmisc:COMPLEX COMMANDS	zshmisc:AUTOLOADING FUNCTIONS	function executed body func functions then
vocab	0.081	zshmisc:ALTERNATE FORMS FOR COMPLEX COMMANDS	zshexpn:HISTORY EXPANSION	word list short form work previous
vocab	0.081	zshmisc:REDIRECTION	zshmisc:AUTOLOADING FUNCTIONS	file created then manner reading perform
vocab	0.081	zshmisc:REDIRECTION	zshmisc:SIMPLE PROMPT ESCAPES	file output dev number leading characters
vocab	0.081	zshmisc:COMMAND EXECUTION	zshmisc:ANONYMOUS FUNCTIONS	function name script main functions arguments
vocab	0.081	zshmisc:AUTOLOADING FUNCTIONS	zshmisc:CONDITIONAL EXPRESSIONS	file true directory newer if its
vocab	0.081	zshmisc:JOBS	zshmisc:SIMPLE PROMPT ESCAPES	jobs tty started running state foreground
vocab	0.08	zshmisc:COMPLEX COMMANDS	zshmisc:CONDITIONAL EXPRESSIONS	true pattern exp condition expression if
